epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,8087.38,0.6533,0.70996,0.99478,0.84204,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,8218.74,0.64589,0.70822,0.99478,0.8434,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,8349.41,0.63097,0.70787,0.99478,0.84136,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,8480.86,0.62517,0.70891,0.99478,0.843,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,8612.52,0.62085,0.70787,0.99478,0.84278,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8745.5,0.60715,0.70822,0.99478,0.84422,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8878.54,0.60485,0.70752,0.99478,0.84487,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,9011.89,0.60175,0.70648,0.99478,0.84577,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,9147.31,0.58333,0.70648,0.99478,0.84678,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,9281.56,0.58243,0.70474,0.99478,0.85021,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,9415.66,0.56749,0.70578,0.99513,0.85173,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,9550.7,0.56177,0.70682,0.99513,0.85176,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,9685.42,0.54877,0.70578,0.99513,0.85489,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,9820.63,0.54812,0.70648,0.99478,0.85698,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,9957.95,0.53692,0.70682,0.99478,0.85888,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,10094.5,0.52877,0.70717,0.99443,0.86211,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,10233.2,0.51991,0.70787,0.99443,0.86457,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,10370.6,0.50426,0.70961,0.99443,0.8665,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,10507.4,0.49916,0.70996,0.99408,0.87061,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,10646.9,0.47811,0.71065,0.99408,0.87264,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,10784.3,0.48172,0.7117,0.99373,0.87632,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,10924,0.46772,0.7124,0.99373,0.87987,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,11062,0.45887,0.71205,0.99373,0.88106,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,11199.9,0.44501,0.71414,0.99338,0.88478,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,11339.7,0.43554,0.71344,0.99373,0.88631,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,11479.6,0.42051,0.71379,0.99478,0.89129,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,11619.2,0.41434,0.71483,0.99408,0.89242,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,11760.4,0.41151,0.71518,0.99478,0.89635,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,11902,0.39667,0.71379,0.99478,0.89892,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,12041.3,0.38286,0.71414,0.99478,0.9029,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,12174.4,0.37906,0.71518,0.99478,0.90719,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,12302.8,0.36975,0.71414,0.99478,0.91106,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,12428,0.36568,0.71448,0.99443,0.91392,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,12553.2,0.35019,0.71309,0.99443,0.91954,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
