epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,104.759,1.65311,0.43663,0.95125,1.43678,0.0016646,0.0016646,0.0683725
2,207.605,1.34091,0.54039,0.97841,1.20011,0.0032763,0.0032763,0.0366509
3,309,1.19722,0.57765,0.98085,1.13282,0.00483301,0.00483301,0.00487426
4,410.591,1.12096,0.61247,0.98294,1.03887,0.0047525,0.0047525,0.0047525
5,512.173,1.03383,0.62326,0.98921,1.00211,0.00467,0.00467,0.00467
6,622.918,0.98128,0.6546,0.99025,0.94277,0.0045875,0.0045875,0.0045875
7,748.046,0.9397,0.65564,0.99164,0.93649,0.004505,0.004505,0.004505
8,872.307,0.90492,0.65877,0.99304,0.91844,0.0044225,0.0044225,0.0044225
9,996.983,0.87462,0.6633,0.9899,0.91443,0.00434,0.00434,0.00434
10,1123,0.85411,0.67305,0.99338,0.90249,0.0042575,0.0042575,0.0042575
11,1246.78,0.82493,0.67479,0.99164,0.89966,0.004175,0.004175,0.004175
12,1364.06,0.7966,0.67096,0.99199,0.89121,0.0040925,0.0040925,0.0040925
13,1487.75,0.77651,0.68489,0.99164,0.87334,0.00401,0.00401,0.00401
14,1631.21,0.75173,0.6821,0.99373,0.88291,0.0039275,0.0039275,0.0039275
15,1751.55,0.72604,0.6835,0.99443,0.89189,0.003845,0.003845,0.003845
16,1868.86,0.71606,0.69011,0.99304,0.86718,0.0037625,0.0037625,0.0037625
17,1987.86,0.69262,0.69812,0.99373,0.86346,0.00368,0.00368,0.00368
18,2108.51,0.67639,0.68872,0.99443,0.8724,0.0035975,0.0035975,0.0035975
19,2230.48,0.66052,0.69708,0.99373,0.86894,0.003515,0.003515,0.003515
20,2353.34,0.64195,0.69255,0.99478,0.87436,0.0034325,0.0034325,0.0034325
21,2476.21,0.62614,0.7023,0.99408,0.86966,0.00335,0.00335,0.00335
22,2600.44,0.60821,0.69882,0.99443,0.88258,0.0032675,0.0032675,0.0032675
23,2725.98,0.58635,0.69916,0.99234,0.89181,0.003185,0.003185,0.003185
24,2853.25,0.56946,0.70613,0.99408,0.89174,0.0031025,0.0031025,0.0031025
25,2981.83,0.55765,0.70474,0.99338,0.90804,0.00302,0.00302,0.00302
26,3103.29,0.53442,0.70474,0.9913,0.9022,0.0029375,0.0029375,0.0029375
27,3228.13,0.51873,0.70265,0.99269,0.91957,0.002855,0.002855,0.002855
28,3350.41,0.50311,0.70439,0.99095,0.92708,0.0027725,0.0027725,0.0027725
29,3472.27,0.49088,0.70926,0.99164,0.933,0.00269,0.00269,0.00269
30,3598.92,0.46951,0.70265,0.99164,0.94071,0.0026075,0.0026075,0.0026075
31,3716.12,0.45927,0.70717,0.99199,0.94277,0.002525,0.002525,0.002525
32,3846.66,0.44339,0.70578,0.99164,0.94671,0.0024425,0.0024425,0.0024425
33,3982.76,0.43116,0.711,0.9913,0.95121,0.00236,0.00236,0.00236
34,4123.19,0.41743,0.7124,0.9913,0.95853,0.0022775,0.0022775,0.0022775
35,4247.27,0.39846,0.71448,0.99095,0.96646,0.002195,0.002195,0.002195
36,4371.68,0.3796,0.7124,0.9913,0.97042,0.0021125,0.0021125,0.0021125
37,4495.71,0.36575,0.71205,0.99199,0.97599,0.00203,0.00203,0.00203
38,4620.89,0.35796,0.7117,0.99199,0.98172,0.0019475,0.0019475,0.0019475
39,4747.26,0.34352,0.711,0.99199,0.98638,0.001865,0.001865,0.001865
40,4880.39,0.32332,0.7124,0.99164,0.98958,0.0017825,0.0017825,0.0017825
41,5010.38,0.31545,0.71344,0.99234,0.99297,0.0017,0.0017,0.0017
42,5139.8,0.3014,0.71309,0.99234,0.99922,0.0016175,0.0016175,0.0016175
43,5260.53,0.29503,0.71379,0.99164,1.00307,0.001535,0.001535,0.001535
44,5383.28,0.28001,0.71379,0.99164,1.00796,0.0014525,0.0014525,0.0014525
45,5509.57,0.27372,0.71518,0.9913,1.01464,0.00137,0.00137,0.00137
46,5633.18,0.26056,0.71379,0.9913,1.01954,0.0012875,0.0012875,0.0012875
47,5770.5,0.25271,0.71274,0.9913,1.02541,0.001205,0.001205,0.001205
48,5913.75,0.2429,0.71379,0.99164,1.03001,0.0011225,0.0011225,0.0011225
49,6040.14,0.23333,0.71414,0.99164,1.0358,0.00104,0.00104,0.00104
50,6162.29,0.21374,0.71344,0.9913,1.03898,0.0009575,0.0009575,0.0009575
51,6288.37,0.20985,0.71309,0.9913,1.04072,0.000875,0.000875,0.000875
52,6417.32,0.18882,0.71414,0.9913,1.04563,0.0007925,0.0007925,0.0007925
53,6542.43,0.18889,0.71623,0.99164,1.04853,0.00071,0.00071,0.00071
54,6679.06,0.18522,0.71553,0.99164,1.05193,0.0006275,0.0006275,0.0006275
55,6812.52,0.17741,0.71414,0.99164,1.05643,0.000545,0.000545,0.000545
56,6941.92,0.17283,0.71274,0.99164,1.05944,0.0004625,0.0004625,0.0004625
57,7080.27,0.16334,0.71205,0.99164,1.06279,0.00038,0.00038,0.00038
58,7218.71,0.15614,0.71205,0.99164,1.06604,0.0002975,0.0002975,0.0002975
59,7353.29,0.15269,0.7117,0.99164,1.07031,0.000215,0.000215,0.000215
60,7487.43,0.14738,0.711,0.99164,1.07314,0.0001325,0.0001325,0.0001325
